barcode,mclust,x,y
aaaafcca-1,2,1276.244287109375,3451.5146484375
aaaafccb-1,2,1276.9349121093749,3410.9586914062497
aaaafccc-1,2,1278.645391845703,3447.047790527344
aaaafccd-1,2,1283.8269470214843,3436.074780273437
aaaafcce-1,2,1284.8305114746092,3420.0277099609375
aaaafccf-1,2,1285.1851623535156,3454.26884765625
aaaafccg-1,2,1287.277789306641,3460.508544921875
aaaafcch-1,2,1291.8455017089843,3445.93984375
aaaafcci-1,2,1297.849560546875,3464.049865722656
aaaafccj-1,2,1294.40390625,3411.590588378906
aaaafcck-1,2,1296.126422119141,3455.3857177734376
aaaafccl-1,2,1303.85185546875,3433.3944580078123
aaaafccm-1,2,1302.2778198242188,3449.1468505859375
aaaafccn-1,2,1304.4798095703125,3459.502490234375
aaaafcco-1,2,1303.327764892578,3411.6729736328125
aaaafccp-1,2,1311.8703063964842,3449.77646484375
aaaafcda-1,2,1312.1353088378903,3411.158947753906
aaaafcdb-1,2,1318.5856384277342,3461.403576660156
aaaafcdc-1,2,1320.6055297851562,3415.9406127929688
aaaafcdd-1,2,1322.7599975585938,3448.047412109375
aaaafcde-1,2,1330.4072998046877,3458.5097167968747
aaaafcdf-1,2,1331.6194213867186,3410.919055175781
aaaafcdg-1,2,1327.763604736328,3424.6645263671876
aaaafcdh-1,2,1330.9225708007812,3446.070373535156
aaaafcdi-1,2,1344.682879638672,3408.5307128906247
aaaafcdj-1,2,1336.5680358886718,3443.1611572265624
aaaafcdk-1,2,1337.4835083007813,3424.430651855469
aaaafcdl-1,2,1340.1514831542968,3465.195373535156
aaaafcdm-1,2,1342.2405822753906,3427.478283691406
aaaafcdn-1,2,1130.1064392089845,3597.08544921875
aaaafcdo-1,2,1141.174493408203,3598.100634765625
aaaafcdp-1,2,1137.0837646484374,3600.3161132812497
aaaafceb-1,2,1121.1400390625,3601.9804199218747
aaaafcec-1,2,1141.8748718261718,3604.917236328125
aaaafced-1,2,1129.9324340820312,3606.6396484375
aaaafcee-1,2,1115.9073303222656,3605.521533203125
aaaafcef-1,2,1124.6595703125,3608.92734375
aaaafceg-1,2,1120.2369140625,3609.711767578125
aaaafceh-1,2,1111.276324462891,3608.195629882812
aaaafcei-1,2,1137.5821228027344,3610.5551269531247
aaaafcej-1,2,1145.2777770996092,3614.5681396484374
aaaafcek-1,2,1114.9499389648438,3615.754736328125
aaaafcel-1,2,1134.0028259277344,3616.284326171875
aaaafcem-1,2,1127.1656799316406,3615.477075195312
aaaafcen-1,2,1121.1437744140624,3616.8724365234375
aaaafceo-1,2,1107.4421936035155,3618.9513671875
