ID,x,y,kmeans
aaaaaaac-1,1643.36885375977,1290.66969604492,1
aaaaaaad-1,1655.51351928711,1303.29736328125,1
aaaaaaae-1,1663.02510375977,1314.83389282227,1
aaaaaaag-1,1653.32263183594,1331.53122558594,1
aaaaaaah-1,1662.07611694336,1338.12578125,1
aaaaaaai-1,1672.53645019531,1356.74495239258,1
aaaaaaaj-1,1644.34471435547,1362.40411376953,1
aaaaaaak-1,1662.70355224609,1360.60554199219,1
aaaaaaal-1,1653.55204467773,1368.88754272461,1
aaaaaaam-1,1665.65157470703,1374.5426574707,1
aaaaaaan-1,1661.81184082031,1383.21105957031,1
aaaaaaao-1,1645.93628540039,1385.96090087891,1
aaaaaaap-1,1657.27795410156,1399.56401367188,1
aaaaaaba-1,1646.37871704102,1401.06728515625,1
aaaaaabb-1,1665.99885864258,1406.9259765625,1
aaaaaabc-1,1660.73491821289,1416.39706420898,1
aaaaaabd-1,1643.54462280273,1415.71110839844,1
aaaaaabe-1,1673.51459350586,1418.87671508789,1
aaaaaabf-1,1648.92819824219,1428.19237060547,1
aaaaaabg-1,1662.16524658203,1427.11544799805,1
aaaaaabh-1,1666.20471801758,1440.91311035156,1
aaaaaabi-1,1650.56760253906,1452.32855224609,1
aaaaaabl-1,1665.53982543945,1506.91500854492,5
aaaaaabm-1,1653.409375,1515.56265869141,5
aaaaaabn-1,1668.03877563477,1521.38098754883,5
aaaaaabo-1,1668.04313354492,1531.45823974609,5
aaaaaabp-1,1657.54202270508,1532.49189453125,5
aaaaaaca-1,1648.63352050781,1531.85979003906,5
aaaaaacb-1,1651.33812255859,1537.86748046875,5
aaaaaacc-1,1664.72551879883,1545.82927856445,5
aaaaaacd-1,1643.37798461914,1540.25250244141,5
aaaaaace-1,1655.2953125,1546.66070556641,5
aaaaaacf-1,1651.01003417969,1550.77363891602,5
aaaaaacg-1,1666.2825378418,1582.63546142578,1
aaaaaach-1,1654.18051757812,1588.1748840332,1
aaaaaaci-1,1668.44852294922,1593.92991943359,1
aaaaaacj-1,1667.547265625,1599.95971069336,1
aaaaaack-1,1646.27910766602,1600.59762573242,1
aaaaaacl-1,1664.18005371094,1605.9119934082,1
aaaaaacm-1,1651.94791870117,1606.67535400391,1
aaaaaacn-1,1647.49973754883,1612.67744140625,1
aaaaaaco-1,1660.35339355469,1616.55463256836,1
aaaaaacp-1,1654.76198730469,1619.1703125,1
aaaaaada-1,1673.60040283203,1618.41421508789,1
aaaaaadb-1,1666.59547729492,1619.60932006836,1
aaaaaadc-1,1648.50537719727,1622.74981689453,1
aaaaaadd-1,1639.61607055664,1627.50595703125,3
aaaaaade-1,1667.32376708984,1637.61890258789,1
aaaaaadf-1,1652.94951171875,1640.91877441406,1
aaaaaadg-1,1650.59603271484,1660.13238525391,1
aaaaaadh-1,1655.71377563477,1670.42825927734,1
aaaaaadi-1,1551.00958862305,874.446423339844,4
aaaaaadj-1,1432.0039855957,872.291955566406,4
aaaaaadk-1,1547.57171630859,862.887222290039,0
aaaaaadm-1,1527.86171875,865.15426940918,0
aaaaaadn-1,1435.28320922852,849.042660522461,4
aaaaaado-1,1446.01892089844,849.924151611328,4
aaaaaadp-1,1570.12182617188,856.146728515625,0
aaaaaaea-1,1512.30159301758,851.447915649414,3
aaaaaaeb-1,1585.38831176758,862.80276184082,0
aaaaaaec-1,1548.67105102539,856.117053222656,0
aaaaaaed-1,1584.96974487305,853.64866027832,0
aaaaaaee-1,1556.50211181641,848.395355224609,0
aaaaaaef-1,1446.1883605957,867.719262695313,4
aaaaaaeg-1,1657.07883911133,849.340347290039,4
aaaaaaeh-1,1597.40711669922,857.305258178711,0
aaaaaaei-1,1622.58297119141,852.502841186523,0
aaaaaaej-1,1539.36483764648,843.730212402344,0
aaaaaaek-1,1577.29453125,860.449438476562,0
aaaaaael-1,1561.30328369141,858.488482666016,0
aaaaaaem-1,1545.08220825195,869.27607421875,0
aaaaaaen-1,1477.32708129883,867.139245605469,4
aaaaaaeo-1,1610.40271606445,872.036291503906,0
aaaaaaep-1,1578.16881103516,845.710882568359,0
aaaaaafa-1,1553.36846313477,853.241040039062,0
