ID,x,y,kmeans
spot_245,5447,8637,4
spot_246,5692,9189,4
spot_247,5670,6282,2
spot_248,4968,8917,0
spot_249,6250,3302,0
spot_250,4935,4627,2
spot_251,10461,2785,6
spot_252,9266,4040,1
spot_253,10593,4376,1
spot_254,11703,7759,1
spot_255,10874,9634,0
spot_256,7472,5646,0
spot_257,9648,6736,3
spot_258,9736,2514,1
spot_259,3837,2766,2
spot_260,8803,6535,0
spot_261,11707,8313,3
spot_262,5446,8499,4
spot_263,10220,2787,6
spot_264,10607,6175,1
spot_265,10616,7421,3
spot_266,8562,6537,0
spot_267,8091,7925,4
spot_268,10389,9222,0
spot_269,10701,2783,6
spot_270,10518,10398,0
spot_271,4242,8508,0
spot_272,3989,6849,4
spot_273,10344,3271,1
spot_274,2670,7620,0
spot_275,11801,4921,6
spot_276,8170,2457,1
spot_277,10266,8877,0
spot_278,8693,7851,0
spot_279,7971,7995,4
spot_280,3526,9344,0
spot_281,6520,7175,2
spot_282,5294,4278,2
spot_283,6255,3994,4
spot_284,7085,2257,0
spot_285,8569,7367,0
spot_286,6140,4756,2
spot_287,10020,8187,3
spot_288,7967,7441,4
spot_289,11912,3605,6
spot_290,7697,3568,3
spot_291,6981,4404,0
spot_292,2902,6511,0
spot_293,9509,4315,1
spot_294,8821,8888,4
spot_295,6366,2816,0
spot_296,6044,7871,2
spot_297,7871,10695,5
spot_298,5548,6075,2
spot_299,4380,10791,3
spot_300,7974,8410,5
spot_301,4348,6638,4
spot_302,9862,3274,1
spot_303,11454,6792,1
spot_304,6423,10291,4
spot_305,5545,5660,2
spot_306,4937,4904,2
spot_307,4438,2554,5
spot_308,10465,3339,1
spot_309,5662,5175,2
spot_310,7624,9866,5
spot_311,3509,7129,0
spot_312,5917,7111,2
spot_313,9671,9781,0
spot_314,4685,3383,2
spot_315,8916,5496,3
spot_316,9794,10127,0
spot_317,8903,3835,1
spot_318,3502,6160,0
spot_319,3863,6227,4
spot_320,9785,9019,0
spot_321,3875,7749,0
spot_322,10988,8733,3
spot_323,9057,8194,0
spot_324,8791,4874,3
spot_325,7205,2187,3
spot_326,8175,3149,3
spot_327,4979,10440,0
spot_328,9738,2791,1
spot_329,5191,6563,2
spot_330,11831,8796,3
spot_331,6488,3023,0
spot_332,9282,6116,3
spot_333,7740,9242,5
spot_334,7719,6474,0
spot_335,11915,4020,6
spot_336,7585,4745,0
spot_337,8090,7786,4
spot_338,3752,7404,0
spot_339,3149,7339,0
spot_340,11669,3330,6
spot_341,7500,9383,5
spot_342,3599,3184,2
spot_343,8802,6397,3
spot_344,11433,4024,6
spot_345,11471,9006,3
spot_346,4736,10165,0
spot_347,3025,6856,0
spot_348,5095,9816,0
spot_349,10507,8875,0
spot_350,9037,5564,3
spot_351,4702,5597,2
spot_352,11114,9494,3
spot_353,9413,7569,3
spot_354,3514,7821,0
spot_355,6270,5932,2
spot_356,11702,7620,1
spot_357,7622,9589,5
spot_358,5462,10575,0
spot_359,8449,7438,0
spot_360,3836,2628,2
spot_361,7207,2464,3
spot_362,3148,7201,0
spot_363,3019,6026,0
spot_364,3767,9342,0
spot_365,8458,8683,4
spot_366,7234,6063,0
spot_367,7933,3012,3
spot_368,7708,5090,0
spot_369,4197,2556,5
spot_370,6287,8146,2
spot_371,5652,3929,2
spot_372,7104,4749,0
spot_373,9906,9088,0
spot_374,9989,4173,1
spot_375,10956,4581,1
spot_376,9527,6668,3
spot_377,9798,10680,4
spot_378,7257,9108,5
spot_379,7712,5505,0
spot_380,11424,2778,6
spot_381,10879,10326,0
spot_382,9641,5906,3
spot_383,4084,3595,2
spot_384,9393,4939,1
spot_385,10990,9010,3
spot_386,8453,7991,4
spot_387,5218,10161,0
spot_388,4228,6708,4
spot_389,4622,10927,0
spot_390,3393,7753,0
spot_391,3740,5882,4
spot_392,9498,2931,1
spot_393,10009,6803,3
spot_394,6035,6764,2
spot_395,11220,7624,3
spot_396,9916,10333,0
spot_397,9194,10477,5
spot_398,7012,8556,5
spot_399,8812,7642,0
spot_400,7983,9517,5
spot_401,11556,4369,6
spot_402,8220,8962,5
spot_403,9741,3206,1
spot_404,10218,2510,6
spot_405,9995,4865,1
spot_406,3265,6716,0
spot_407,8665,4252,1
spot_408,6498,4269,4
spot_409,7625,10005,5
spot_410,10848,6174,1
spot_411,11953,9003,1
spot_412,9308,9577,4
spot_413,6782,9942,5
spot_414,10464,3201,1
spot_415,8177,3426,3
spot_416,6495,3854,0
spot_417,9799,10819,4
spot_418,11227,8593,3
spot_419,10353,4516,1
spot_420,3610,4568,4
spot_421,3755,7819,0
spot_422,8659,3422,1
spot_423,9499,3069,1
spot_424,6055,9394,4
spot_425,5320,7738,4
spot_426,6603,2261,0
spot_427,5672,6559,2
spot_428,7017,9248,5
spot_429,7107,5164,0
spot_430,3870,7057,4
spot_431,10240,5417,1
spot_432,5697,9742,4
spot_433,9426,9230,4
spot_434,6635,6413,2
spot_435,11697,7067,1
spot_436,4714,7258,4
spot_437,11352,9215,3
spot_438,3027,7133,0
spot_439,7844,7096,4
spot_440,8560,6260,3
spot_441,7582,4330,0
spot_442,6756,6482,2
spot_443,6123,2541,0
spot_444,11603,10459,3
spot_445,6053,9117,4
spot_446,7332,3086,3
spot_447,3033,7825,0
spot_448,11472,9145,3
spot_449,4449,4077,2
spot_450,11548,3261,6
spot_451,10014,7356,3
spot_452,4853,9680,0
spot_453,9534,7637,3
spot_454,8922,6327,3
spot_455,9040,5980,3
spot_456,8570,7506,0
spot_457,3247,4363,4
spot_458,9980,2927,1
spot_459,8301,3909,3
spot_460,5581,10366,0
spot_461,4440,2831,2
spot_462,11229,8870,3
spot_463,11185,3057,6
spot_464,3868,6780,0
spot_465,11075,4372,1
spot_466,6638,6828,2
spot_467,11096,7141,3
spot_468,7617,8897,5
spot_469,2661,6513,0
spot_470,7930,2597,3
spot_471,8893,2451,1
spot_472,4709,6566,4
spot_473,2911,7618,0
spot_474,7602,6960,4
spot_475,7346,4885,0
spot_476,4924,3104,2
spot_477,11560,4784,6
spot_478,3621,5952,0
spot_479,6662,10012,4
spot_480,9877,5212,1
spot_481,10506,8737,3
spot_482,11676,4299,6
spot_483,4350,6915,4
spot_484,11604,10597,3
spot_485,3644,8997,0
spot_486,11204,5548,1
spot_487,10224,3341,1
spot_488,5661,5036,2
spot_489,11554,4092,6
spot_490,9883,6043,3
spot_491,8704,9374,5
spot_492,4249,9477,0
spot_493,7261,9661,5
spot_494,4195,2279,5
spot_495,9070,9994,4
spot_496,10347,3686,1
spot_497,4354,7330,4
spot_498,9755,5005,1
spot_499,3489,4499,4
spot_500,9899,8119,3
spot_501,5675,6974,5
spot_502,3735,5190,4
spot_503,10706,3337,6
spot_504,10230,4171,1
spot_505,8297,3355,3
spot_506,6537,9390,5
spot_507,5222,10715,0
spot_508,9529,6945,3
spot_509,8446,7022,0
spot_510,11105,8386,3
spot_511,4802,2898,2
spot_512,10755,9842,0
spot_513,7753,10903,5
spot_514,8541,3769,3
spot_515,7005,7587,2
spot_516,5881,2266,0
spot_517,7727,7582,4
spot_518,3636,8028,0
spot_519,10989,8872,3
spot_520,7030,10909,4
spot_521,7001,7033,2
spot_522,9541,8606,0
spot_523,8332,7923,4
spot_524,3153,7755,0
spot_525,10833,4236,1
spot_526,4592,7052,4
spot_527,7147,10423,5
spot_528,9016,2796,1
spot_529,11447,5823,1
spot_530,6282,7592,2
spot_531,5901,4896,2
spot_532,3852,4704,4
spot_533,6631,5998,2
spot_534,6275,6624,2
spot_535,4210,4355,2
spot_536,3021,6302,0
spot_537,4003,8786,0
spot_538,9654,7567,3
spot_539,4331,4424,2
spot_540,7011,8417,5
spot_541,7232,5786,0
spot_542,8215,8408,5
spot_543,8813,7781,0
spot_544,9494,2377,1
spot_545,10019,8049,3
spot_546,5919,7388,2
spot_547,6429,10983,4
spot_548,7724,7166,4
spot_549,3140,6094,0
spot_550,6147,5586,2
spot_551,11940,7342,1
spot_552,7932,2874,3
spot_553,8947,9649,5
spot_554,11690,6098,1
spot_555,6538,9528,4
spot_556,6033,6487,2
spot_557,7331,2948,3
spot_558,9981,3066,1
spot_559,9435,10475,4
spot_560,9071,10132,5
spot_561,11667,3053,6
spot_562,7992,10763,5
spot_563,9979,2789,1
spot_564,5918,7249,2
spot_565,11590,8798,3
spot_566,7251,8277,5
spot_567,8898,3143,1
spot_568,7709,5229,0
spot_569,10376,7561,3
spot_570,8423,4116,3
spot_571,7090,2949,0
spot_572,11712,9005,3
spot_573,4131,9685,0
spot_574,6534,8975,5
spot_575,4688,3798,2
spot_576,5284,3032,2
spot_577,9317,10822,4
spot_578,3496,5468,0
spot_579,8775,2798,1
spot_580,5293,4140,2
spot_581,8563,6675,0
spot_582,5789,6074,2
spot_583,8828,9857,5
spot_584,7575,3361,3
spot_585,8580,8890,4
spot_586,9028,4457,1
spot_587,9917,10472,0
spot_588,2791,7688,0
spot_589,3646,9274,0
spot_590,6025,5380,2
spot_591,10239,5279,1
spot_592,10835,4513,1
spot_593,5806,8288,4
spot_594,9631,4522,1
spot_595,7455,3431,3
spot_596,6131,3510,4
spot_597,9672,9920,0
spot_598,4984,10994,0
spot_599,4589,6636,4
spot_600,5533,4138,2
spot_601,3841,3320,2
spot_602,8823,9165,5
spot_603,3017,5749,0
spot_604,8465,9514,5
spot_605,6065,10639,4
spot_606,11845,10595,3
spot_607,3403,8999,3
spot_608,4019,10863,3
spot_609,6505,5238,4
spot_610,11908,3051,6
spot_611,10393,9776,0
spot_612,4618,10374,0
spot_613,7465,4815,0
spot_614,4453,4630,2
spot_615,8211,7855,4
spot_616,10373,7146,3
spot_617,5209,8916,4
spot_618,6160,7386,2
spot_619,11666,2915,6
spot_620,5186,6009,2
spot_621,4366,8991,0
spot_622,6779,9527,5
spot_623,9626,3830,1
spot_624,8412,2593,1
spot_625,3957,2696,2
spot_626,6992,5926,4
spot_627,9018,3073,1
spot_628,9892,7150,3
spot_629,7615,8621,5
spot_630,9383,3555,1
spot_631,10831,3959,1
spot_632,5914,6696,2
spot_633,6733,3575,0
spot_634,9053,7779,0
spot_635,6380,4616,4
spot_636,10371,6869,3
spot_637,9403,6185,3
spot_638,11584,7967,3
spot_639,8820,8750,4
spot_640,9021,3488,1
spot_641,5305,5800,2
spot_642,10752,9427,0
spot_643,10366,6177,3
spot_644,10262,8324,3
spot_645,5441,7807,4
spot_646,11213,6655,1
spot_647,7700,3983,0
spot_648,10846,5897,1
spot_649,11478,9837,3
spot_650,10349,3963,1
spot_651,10000,5557,1
spot_652,4469,6707,4
spot_653,10712,4168,1
spot_654,7630,10558,5
spot_655,4730,9335,0
spot_656,9554,10267,4
spot_657,7086,2396,0
spot_658,8661,3699,3
spot_659,8657,3145,1
spot_660,5165,3241,2
spot_661,8789,4736,3
spot_662,4707,6290,2
spot_663,5668,6005,2
spot_664,11925,5266,1
spot_665,10829,3682,6
spot_666,10392,9638,0
spot_667,9521,5976,3
spot_668,5567,8567,4
spot_669,7510,10628,5
spot_670,3643,8858,0
spot_671,10127,6456,3
spot_672,8656,3007,1
spot_673,4214,4771,2
spot_674,10611,6729,3
spot_675,4857,10233,0
spot_676,3605,3876,4
spot_677,3370,4708,4
spot_678,8085,7094,4
spot_679,2918,8587,0
spot_680,9992,4450,1
spot_681,11799,4644,6
spot_682,10381,8115,3
spot_683,11958,9695,3
spot_684,5210,9054,4
spot_685,4594,7329,4
spot_686,9550,9713,4
spot_687,8936,8126,0
