barcode,x,y,original_cluster,mclust_seed_141,mclust_seed_549,mclust_seed_75,mclust_seed_492,mclust_seed_676,mclust_seed_179,mclust_seed_587,mclust_seed_592,mclust_seed_601,mclust_seed_916,mclust_seed_518,mclust_seed_339,mclust_seed_921,mclust_seed_423,mclust_seed_330,mclust_seed_388,mclust_seed_273,mclust_seed_286,mclust_seed_61,mclust_seed_807,mclust_seed_283,mclust_seed_127,mclust_seed_165,mclust_seed_952,mclust_seed_311,mclust_seed_597,mclust_seed_473,mclust_seed_594,mclust_seed_605,mclust_seed_101
85,0.95,-0.4,3,3,4,4,3,4,3,3,3,4,3,4,2,2,3,4,2,4,3,4,3,3,3,3,3,3,2,2,3,3,2
86,1.1,-0.4,3,3,4,4,3,4,3,3,3,4,3,4,2,2,3,4,2,4,3,4,3,3,3,3,3,3,2,2,3,3,2
87,1.25,-0.4,3,3,3,4,3,4,3,3,3,4,4,4,2,2,5,4,2,4,3,4,3,3,3,3,3,3,3,2,3,3,2
88,1.4,-0.4,4,3,3,4,3,4,3,3,3,4,4,4,2,2,3,4,2,4,3,4,3,3,3,3,3,3,2,2,3,3,2
89,1.55,-0.4,4,3,3,4,4,4,3,3,4,4,4,4,2,4,2,4,2,4,4,4,3,4,3,3,3,3,2,2,4,3,3
90,1.7,-0.4,4,3,3,4,4,4,3,3,4,4,4,4,4,4,2,4,2,4,4,4,3,4,3,3,3,3,2,2,4,4,3
91,1.85,-0.4,4,3,3,4,4,4,3,3,4,4,4,4,4,4,2,5,2,4,4,4,3,4,3,3,3,3,2,2,4,4,3
92,2.0,-0.4,5,3,3,5,5,4,2,5,4,3,4,4,4,4,5,5,2,4,4,4,3,4,3,3,3,3,3,3,4,4,3
93,2.15,-0.4,5,3,3,5,5,4,2,5,4,3,4,5,4,4,5,5,2,4,4,4,3,4,3,3,2,3,3,3,4,4,3
94,2.3,-0.4,5,3,3,5,5,4,2,5,4,3,4,5,4,4,5,5,2,4,4,4,3,4,3,3,2,3,3,3,4,4,3
95,2.45,-0.4,5,2,2,3,5,4,4,5,4,3,4,5,2,4,5,5,2,3,4,3,2,4,2,2,2,2,3,3,4,4,3
96,2.6,-0.4,2,2,1,3,2,3,4,1,3,1,3,2,2,3,4,3,3,3,1,3,1,3,2,2,1,2,1,1,3,2,2
97,2.75,-0.4,2,2,1,3,2,3,4,1,3,1,3,2,2,2,3,3,2,3,1,3,1,3,2,2,1,2,1,1,3,2,2
98,2.9,-0.4,2,2,1,3,2,3,4,1,3,1,3,2,2,2,3,3,3,3,1,3,1,3,2,2,1,2,1,1,3,2,2
99,3.05,-0.4,2,2,1,3,2,3,4,1,3,1,3,2,2,2,3,3,2,3,1,3,1,3,2,2,1,2,1,1,3,2,2
100,3.2,-0.4,2,2,1,3,2,3,4,1,3,1,3,2,2,2,3,3,2,3,1,3,1,3,2,2,1,2,1,1,3,2,2
101,-0.7,-0.25,1,4,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,4,1,4,4,1,4,2,1,1
102,-0.55,-0.25,1,4,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,4,1,4,4,1,4,2,1,1
103,-0.4,-0.25,4,4,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,2,2,2,1,1,4,1,4,4,1,5,2,1,1
104,-0.25,-0.25,4,4,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,2,2,2,1,1,4,1,4,4,1,5,2,1,1
105,-0.1,-0.25,4,4,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,2,2,2,1,1,4,1,4,4,3,5,2,1,1
106,0.05,-0.25,4,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,3,3,2,1,1
107,0.2,-0.25,4,1,2,2,1,1,1,3,3,2,2,2,2,1,2,3,1,3,1,3,1,3,1,1,2,1,2,3,3,1,1
108,0.35,-0.25,4,1,2,3,4,3,1,3,3,3,2,2,2,1,2,3,1,3,1,3,2,3,1,2,2,1,2,3,3,1,1
109,0.5,-0.25,4,1,3,3,3,3,1,3,3,3,3,2,2,2,3,3,2,4,3,3,2,3,1,2,3,1,2,2,3,1,2
110,0.65,-0.25,4,1,3,3,3,2,2,3,3,3,3,2,2,2,3,4,2,4,3,4,2,3,1,2,3,1,2,2,3,3,2
111,0.8,-0.25,4,3,3,4,3,4,2,3,3,3,3,2,2,2,3,4,2,4,3,4,2,3,3,2,3,3,3,2,3,3,2
112,0.95,-0.25,3,3,3,4,3,4,3,3,3,4,3,4,2,2,3,4,2,4,3,4,3,3,3,3,3,3,3,2,3,3,2
113,1.1,-0.25,3,3,3,4,3,4,3,3,3,4,3,4,2,2,3,4,2,4,3,4,3,3,3,3,3,3,2,2,3,3,2
114,1.25,-0.25,4,3,3,4,3,2,3,4,3,3,5,4,3,2,5,4,4,1,3,1,2,2,3,4,3,3,3,2,1,3,4
115,1.4,-0.25,4,3,3,4,3,4,3,3,3,4,4,4,2,2,3,4,2,4,3,4,3,3,3,3,3,3,2,2,3,3,2
116,1.55,-0.25,4,3,4,4,4,4,3,3,3,4,4,4,2,2,5,4,2,4,4,4,3,3,3,3,3,3,2,2,4,4,3
117,1.7,-0.25,4,3,3,4,4,4,3,3,4,4,4,4,4,4,5,4,2,4,4,4,3,4,3,3,3,3,2,3,4,4,3
118,1.85,-0.25,5,3,3,5,5,4,2,5,4,3,4,5,4,4,5,5,2,4,4,4,3,4,3,3,2,3,3,3,4,5,3
119,2.0,-0.25,5,3,3,5,4,4,2,5,4,3,4,5,4,4,5,5,2,4,4,4,3,4,3,3,2,3,3,3,4,4,3
120,2.15,-0.25,5,3,3,4,5,4,2,4,4,3,4,5,4,4,5,5,4,4,4,4,3,4,3,3,2,3,3,3,4,5,3
121,2.3,-0.25,5,3,3,4,2,4,2,1,4,3,4,2,4,4,3,3,2,4,4,4,3,4,3,2,2,3,2,3,4,4,3
122,2.45,-0.25,2,2,4,4,2,3,4,1,3,1,3,2,2,2,3,3,2,3,1,3,2,3,2,2,1,3,2,1,3,2,2
123,2.6,-0.25,2,2,1,3,2,3,4,1,3,1,3,2,2,2,3,3,3,3,1,3,1,3,2,2,1,2,1,1,3,2,2
124,2.75,-0.25,2,2,1,3,2,3,4,1,3,1,3,2,2,2,4,3,3,3,1,3,1,3,2,2,1,2,1,1,3,2,2
125,2.9,-0.25,2,2,1,3,2,3,4,1,3,1,3,2,2,3,2,3,3,3,1,3,1,3,2,2,1,2,1,1,3,2,2
126,3.05,-0.25,2,2,1,3,2,3,4,1,3,1,3,2,2,2,3,3,2,3,1,3,1,3,2,2,1,2,1,1,3,2,2
127,3.2,-0.25,2,2,1,3,2,3,4,1,3,1,3,2,2,2,3,3,2,3,1,3,1,3,2,2,1,2,1,1,3,2,2
128,-0.85,-0.1,1,4,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,4,1,4,4,1,4,2,1,1
129,-0.7,-0.1,1,4,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,4,1,4,4,1,4,2,1,1
130,-0.55,-0.1,1,4,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,4,1,4,4,1,4,2,1,1
131,-0.4,-0.1,4,4,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,4,1,4,4,1,5,2,1,1
132,-0.25,-0.1,4,4,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,2,2,2,1,1,4,1,4,4,3,5,2,1,1
133,-0.1,-0.1,4,4,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,2,2,2,1,1,4,1,4,4,3,5,2,1,1
134,-0.85,0.05,1,4,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,4,1,4,4,1,4,2,1,1
135,-0.7,0.05,1,4,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,4,1,4,4,1,4,2,1,1
