"cell_id","x_centroid","y_centroid","Annotation_Type"
"aaaahemp-1",3270.98157958984,3588.97973632812,"Large Airway"
"aaaahena-1",3283.09802246094,3589.54584960937,"Large Airway"
"aaaahenb-1",3276.04733886719,3591.93688964844,"Large Airway"
"aaaahenc-1",3183.04787597656,3598.03879394531,"Large Airway"
"aaaahend-1",3267.35102539062,3596.58781738281,"Large Airway"
"aaaahene-1",3192.92227783203,3600.93659667969,"Large Airway"
"aaaahenf-1",3254.17934570312,3598.6443359375,"Large Airway"
"aaaaheng-1",3271.25384521484,3601.98083496094,"Large Airway"
"aaaahenh-1",3280.41645507812,3600.6896484375,"Large Airway"
"aaaaheni-1",3210.45083007812,3602.61958007812,"Large Airway"
"aaaahenj-1",3262.63327636719,3607.26967773437,NA
"aaaahenk-1",3279.51312255859,3609.49138183594,"Large Airway"
"aaaahenl-1",3273.04660644531,3609.92053222656,"Large Airway"
"aaaahenm-1",3256.63243408203,3615.67048339844,"Large Airway"
"aaaahenn-1",3280.31186523438,3616.08676757813,"Large Airway"
"aaaaheno-1",3265.71245117187,3619.70092773438,"Large Airway"
"aaaahenp-1",3196.31916503906,3618.16486816406,NA
"aaaaheoa-1",3270.66697998047,3621.59226074219,"Large Airway"
"aaaaheob-1",3269.39094238281,3629.25595703125,"Large Airway"
"aaaaheoc-1",3203.43023681641,3626.84333496094,"Large Airway"
"aaaaheod-1",3186.9587890625,3627.59787597656,"Large Airway"
"aaaaheoe-1",3218.30751953125,3626.35026855469,"Large Airway"
"aaaaheof-1",3287.40010986328,3636.68225097656,"Large Airway"
"aaaaheog-1",3251.54488525391,3638.78608398437,NA
"aaaaheoh-1",3274.73519287109,3639.80500488281,NA
"aaaaheoi-1",3213.57026367187,3639.19738769531,"Large Airway"
"aaaaheoj-1",3224.68438720703,3637.53349609375,"Large Airway"
"aaaaheok-1",3204.04158935547,3640.32338867187,"Large Airway"
"aaaaheol-1",3190.55053710938,3640.85920410156,"Large Airway"
"aaaaheom-1",3279.92442626953,3646.69880371094,"Large Airway"
"aaaaheon-1",3173.62109375,3642.02131347656,"Large Airway"
"aaaaheoo-1",3216.20368652344,3646.426953125,"Large Airway"
"aaaaheop-1",3233.19517822266,3649.47541503906,"Large Airway"
"aaaahepa-1",3181.48774414062,3655.73337402344,"Large Airway"
"aaaahepb-1",3202.912890625,3650.87326660156,"Large Airway"
"aaaahepc-1",3190.91577148438,3655.83796386719,"Large Airway"
"aaaahepd-1",3215.15280761719,3654.86303710938,"Large Airway"
"aaaahepe-1",3204.93869628906,3661.65930175781,"Large Airway"
"aaaahepf-1",3222.69323730469,3665.20581054688,"Large Airway"
"aaaahepg-1",3165.21323242188,3661.45759277344,"Large Airway"
"aaaaheph-1",3198.09013671875,3668.26921386719,"Large Airway"
"aaaahepi-1",3150.42310791016,3673.66970214844,"Large Airway"
"aaaahepj-1",3186.46800537109,3670.98024902344,"Large Airway"
"aaaahepk-1",3234.57933349609,3671.74558105469,"Large Airway"
"aaaahepl-1",3170.11920166016,3676.13129882812,"Large Airway"
"aaaahepm-1",3179.75806884766,3676.402734375,"Large Airway"
"aaaahepn-1",3213.33555908203,3681.73681640625,"Large Airway"
